iter	RMSE
0	190.1793896
1	184.1212412
2	178.1151782
3	172.9727471
4	168.2743895
5	163.3291819
6	159.0400283
7	155.000274
8	151.5528275
9	148.1293242
10	145.3410409
11	142.3638332
12	139.6653967
13	137.0071234
14	134.4019303
15	132.060201
16	129.7375312
17	127.6773515
18	125.7783477
19	123.8597782
20	122.1525179
21	120.5694604
22	119.0732714
23	117.5722231
24	116.4555657
25	115.2284725
26	114.2012784
27	113.2732769
28	112.2902839
29	111.241397
30	110.1758669
31	109.4552269
32	108.6190274
33	107.8818881
34	107.0977634
35	106.3153388
36	105.6935254
37	105.185623
38	104.5024208
39	103.9219949
40	103.3686521
41	102.7737796
42	102.2583977
43	101.8230329
44	101.3445625
45	100.8874111
46	100.4815042
47	100.0413277
48	99.45691209
49	99.01988817
50	98.63866682
51	98.25161647
52	97.85439471
53	97.56628591
54	97.18715353
55	96.81367889
56	96.52316074
57	96.22869465
58	95.9390463
59	95.60759135
60	95.30227689
61	95.00142871
62	94.69759332
63	94.43133441
64	94.14105342
65	93.89463489
66	93.49200443
67	93.13184638
68	92.7318807
69	92.43046751
70	92.08100529
71	91.83093269
72	91.53236701
73	91.22126794
74	90.97011934
75	90.67802764
76	90.38328005
77	90.14246613
78	89.90133518
79	89.71076595
80	89.39522849
81	89.11054119
82	88.87969173
83	88.63167087
84	88.41543961
85	88.18306672
86	87.95308312
87	87.69111687
88	87.47155757
89	87.23625029
90	87.01278042
91	86.86533439
92	86.67109296
93	86.46364368
94	86.262193
95	86.02319456
96	85.84220963
97	85.68612832
98	85.54454307
99	85.33306641
100	85.17319853
101	85.01579384
102	84.89536905
103	84.65449795
104	84.48254693
105	84.32282974
106	84.14416715
107	83.97076009
108	83.80491216
109	83.70429975
110	83.50962427
111	83.32764292
112	83.17043292
113	82.98516486
114	82.81036131
115	82.6681049
116	82.50589785
117	82.32427849
118	82.15413973
119	82.01559048
120	81.85574122
121	81.7000956
122	81.52211641
123	81.29648055
124	81.16158171
125	81.03037421
126	80.87517368
127	80.70615651
128	80.57878435
129	80.42007517
130	80.2892417
131	80.17272539
132	80.01569694
133	79.81678123
134	79.6984613
135	79.52727804
136	79.36350518
137	79.18547399
138	79.05039997
139	78.85628856
140	78.72639989
141	78.59410677
142	78.45166379
143	78.35208941
144	78.21315891
145	78.06011149
146	77.93536153
147	77.74126826
148	77.58572359
149	77.45878308
150	77.32842024
151	77.22508648
152	77.06977895
153	76.81844497
154	76.7168025
155	76.60065985
156	76.49376872
157	76.37910364
158	76.25229074
159	76.13172073
160	76.00236255
161	75.87882802
162	75.79267333
163	75.66532276
164	75.55813784
165	75.42827034
166	75.30329458
167	75.17559518
168	75.02313987
169	74.87064602
170	74.72661294
171	74.60736256
172	74.52224093
173	74.41259996
174	74.2460866
175	74.13050702
176	74.02040615
177	73.89752439
178	73.79321258
179	73.6919872
180	73.58906157
181	73.48246373
182	73.3782577
183	73.26429399
184	73.15391331
185	73.05463098
186	72.93625125
187	72.82805063
188	72.72776408
189	72.63345473
190	72.46881846
191	72.3407351
192	72.2339775
193	72.1516579
194	72.04056561
195	71.91368417
196	71.81413049
197	71.72572222
198	71.62596147
199	71.51364072
200	71.40765437
201	71.31677382
202	71.2312196
203	71.159098
204	71.07226778
205	70.97197849
206	70.87041615
207	70.78717605
208	70.71625964
209	70.59488621
210	70.51424499
211	70.38919289
212	70.25974961
213	70.15192778
214	70.06340528
215	69.97311246
216	69.86305366
217	69.7717794
218	69.69347192
219	69.59475085
220	69.50979283
221	69.42940998
222	69.34289752
223	69.2725927
224	69.16929544
225	69.08189209
226	68.98759016
227	68.91859038
228	68.84715202
229	68.77489427
230	68.68229858
231	68.6095797
232	68.50903711
233	68.42593377
234	68.32214164
235	68.21791379
236	68.14435635
237	68.07178433
238	67.99304501
239	67.91328907
240	67.83945097
241	67.76778981
242	67.68695789
243	67.60258127
244	67.53467321
245	67.43169565
246	67.29004272
247	67.22357744
248	67.14707558
249	67.06015043
250	66.98583019
251	66.89630346
252	66.82441071
253	66.74643861
254	66.64268369
255	66.57753138
256	66.50171562
257	66.41593252
258	66.34800747
259	66.21846764
260	66.14767518
261	66.08287925
262	66.01739952
263	65.94431534
264	65.82668899
265	65.76173146
266	65.66481446
267	65.55506394
268	65.48909935
269	65.42582165
270	65.36857037
271	65.28361225
272	65.15854324
273	65.07369506
274	65.01023902
275	64.93690091
276	64.85244825
277	64.75116621
278	64.67586036
279	64.61847899
280	64.528836
281	64.41520173
282	64.31753757
283	64.24595552
284	64.16448676
285	64.08998203
286	64.01218324
287	63.95251882
288	63.90364518
289	63.82523193
290	63.7683642
291	63.7238164
292	63.63439785
293	63.56490444
294	63.46758741
295	63.42453446
