iter	Passed	Remaining
0	9	9369
1	12	6373
2	16	5393
3	19	4839
4	22	4512
5	26	4422
6	30	4327
7	34	4310
8	38	4190
9	42	4230
10	45	4134
11	49	4067
12	52	4015
13	56	4005
14	60	3956
15	63	3898
16	66	3872
17	69	3818
18	74	3822
19	77	3776
20	80	3735
21	83	3694
22	86	3664
23	90	3683
24	93	3649
25	96	3616
26	99	3591
27	102	3563
28	106	3573
29	109	3551
30	112	3531
31	115	3506
32	118	3482
33	122	3487
34	126	3487
35	130	3499
36	133	3483
37	138	3496
38	141	3479
39	144	3464
40	147	3446
41	150	3426
42	154	3436
43	157	3422
44	160	3412
45	163	3395
46	166	3379
47	172	3427
48	176	3433
49	180	3426
50	183	3410
51	187	3423
52	191	3421
53	195	3419
54	198	3404
55	202	3421
56	206	3410
57	209	3396
58	212	3386
59	215	3372
60	219	3382
61	223	3378
62	227	3380
63	230	3374
64	234	3377
65	238	3368
66	241	3357
67	244	3346
68	247	3333
69	251	3338
70	254	3329
71	257	3317
72	260	3304
73	263	3293
74	266	3291
75	270	3284
76	273	3274
77	276	3262
78	278	3251
79	282	3249
80	285	3243
81	288	3233
82	291	3223
83	294	3214
84	298	3217
85	302	3212
86	305	3203
87	308	3195
88	311	3187
89	315	3185
90	318	3181
91	321	3177
92	325	3176
93	328	3168
94	333	3173
95	336	3165
96	339	3156
97	341	3147
98	344	3138
99	348	3139
100	351	3130
101	354	3122
102	357	3115
103	360	3107
104	364	3107
105	367	3100
106	370	3091
107	373	3083
108	376	3075
109	380	3078
110	383	3071
111	386	3063
112	389	3055
113	392	3048
114	396	3051
115	399	3044
116	402	3037
117	405	3030
118	408	3025
119	412	3023
120	416	3022
121	424	3052
122	429	3060
123	434	3066
124	437	3062
125	442	3066
126	446	3072
127	451	3078
128	455	3075
129	460	3084
130	464	3079
131	467	3076
132	472	3079
133	477	3084
134	482	3090
135	485	3085
136	489	3086
137	494	3091
138	499	3094
139	503	3090
140	507	3088
141	513	3102
142	519	3111
143	522	3108
144	529	3123
145	533	3119
146	536	3115
147	543	3126
148	549	3136
149	552	3131
150	558	3140
151	562	3136
152	567	3139
153	570	3135
154	577	3146
155	580	3141
156	584	3137
157	588	3136
158	596	3154
159	599	3149
160	604	3151
161	609	3153
162	614	3157
163	619	3157
164	624	3161
165	628	3157
166	631	3151
167	636	3152
168	643	3164
169	647	3159
170	650	3155
171	656	3162
172	661	3162
173	665	3160
174	669	3155
175	674	3158
176	678	3154
177	681	3149
178	688	3156
179	691	3151
180	695	3147
181	700	3146
182	708	3164
183	713	3164
184	717	3162
185	722	3162
186	726	3156
187	731	3157
188	734	3152
189	740	3156
190	746	3163
191	750	3158
192	756	3162
193	759	3156
194	763	3152
195	767	3150
196	773	3154
197	778	3151
198	781	3147
199	786	3147
200	790	3142
201	794	3137
202	797	3131
203	803	3136
204	807	3130
205	810	3125
206	816	3127
207	825	3144
208	829	3140
209	835	3144
210	839	3138
211	842	3132
212	847	3131
213	852	3129
214	855	3124
215	859	3119
216	864	3120
217	868	3116
218	872	3110
219	876	3108
220	882	3110
221	887	3110
222	892	3110
223	896	3104
224	900	3103
225	906	3105
226	911	3102
227	917	3106
228	921	3103
229	927	3103
230	932	3105
231	937	3104
232	941	3099
233	946	3098
234	951	3096
235	956	3096
236	960	3090
237	964	3088
238	968	3082
239	973	3082
240	979	3083
241	982	3078
242	986	3072
243	991	3071
244	997	3073
245	1001	3070
246	1006	3067
247	1011	3066
248	1020	3079
249	1028	3084
250	1032	3081
251	1037	3080
252	1041	3074
253	1046	3074
254	1051	3070
255	1056	3069
256	1061	3070
257	1067	3071
258	1072	3067
259	1077	3067
260	1081	3062
261	1086	3060
262	1090	3056
263	1098	3062
264	1104	3063
265	1109	3062
266	1118	3069
267	1125	3074
268	1129	3070
269	1135	3070
270	1140	3066
271	1150	3079
272	1157	3083
273	1165	3086
274	1170	3086
275	1177	3089
276	1181	3082
277	1184	3076
278	1189	3074
279	1195	3073
280	1199	3069
281	1203	3064
282	1208	3062
283	1213	3059
284	1219	3059
285	1225	3060
286	1229	3054
287	1233	3049
288	1236	3042
289	1241	3039
290	1245	3035
291	1251	3033
292	1255	3029
293	1259	3023
294	1263	3019
295	1267	3015
296	1274	3016
297	1278	3012
298	1284	3011
299	1290	3010
300	1294	3007
301	1298	3001
302	1303	2998
303	1307	2994
304	1313	2992
305	1317	2987
306	1322	2986
307	1326	2980
308	1330	2976
309	1336	2974
310	1341	2972
311	1346	2969
312	1353	2969
313	1356	2964
314	1361	2959
315	1364	2954
316	1369	2950
317	1373	2946
318	1377	2939
319	1381	2936
320	1386	2932
321	1390	2928
322	1394	2922
323	1398	2917
324	1403	2914
325	1411	2918
326	1415	2914
327	1421	2913
328	1426	2909
329	1431	2906
330	1437	2905
331	1442	2901
332	1446	2897
333	1451	2893
334	1456	2891
335	1460	2886
336	1465	2883
337	1469	2878
338	1473	2872
339	1478	2870
340	1484	2869
341	1490	2866
342	1494	2863
343	1507	2874
344	1515	2878
345	1523	2880
346	1528	2876
347	1534	2875
348	1539	2871
349	1544	2868
350	1550	2867
351	1555	2864
352	1560	2859
353	1566	2858
354	1570	2854
355	1576	2852
356	1584	2853
357	1589	2851
358	1595	2847
359	1600	2844
360	1604	2840
361	1610	2837
362	1614	2833
363	1619	2829
364	1622	2823
365	1627	2818
366	1632	2814
367	1636	2809
368	1639	2804
369	1644	2799
370	1650	2797
371	1654	2793
372	1659	2789
373	1666	2789
374	1670	2784
375	1675	2780
376	1681	2778
377	1684	2772
378	1689	2768
379	1692	2762
